"N°","Nom","Type","Telephone","Email"
"1","ZenStore","2","0202020202","ZenStore@mail.com"
"2","Shoplife","1","0303030303","Shoplife@mail.com"
"3","Fwear","1","0404040404","Fwear@mail.com"
"4","BonPrix","2","0505050505","BonPrix@mail.com"
"5","HeyClothes","2","0606060606","HeyClothes@mail.com"
"6","Storea","1","0707070707","Storea@mail.com"
"7","Shopfino","1","0808080808","Shopfino@mail.com"
"8","KitoStore","1","0909090909","KitoStore@mail.com"
"9","BSJ","2","0102020202","BSJ@mail.com"
"10","T-suit","1","0201010203","T-suit@mail.com"
"11","ComicsSuit","1","0405060708","ComicsSuit@mail.com"
"12","Stylish","1","0305080409","Stylish@mail.com"
"13","FlashFan","1","0905070106","FlashFan@mail.com"
"14","Arrow","2","0124262829","Arrow@mail.com"
"15","T-Stark","1","0123687459","T-Stark@mail.com"
